"Cr","Mr","Popsize","Generasi","Best Fitness","Average Fitness","msg"
"0.5","0.4","10","1000","0.17467248908297","0.16485544246065","52.86 detik"
"0.5","0.5","10","1000","0.15910898965792","0.15075120933396","52.53 detik"
"0.5","0.6","10","1000","0.16750418760469","0.15385682169518","52.59 detik"
"0.5","0.7","10","1000","0.16","0.1530218605791","52.59 detik"
"0.5","0.8","10","1000","0.1531393568147","0.15033676487665","52.13 detik"
"0.5","0.9","10","1000","0.14760147601476","0.14567062522022","52.02 detik"
"0.6","0.1","10","1000","0.19900497512438","0.18209850100135","52.84 detik"
"0.6","0.2","10","1000","0.20040080160321","0.1806602369166","53.29 detik"
"0.6","0.3","10","1000","0.17152658662093","0.16385589325462","52.67 detik"
"0.6","0.4","10","1000","0.16273393002441","0.15702518287903","52.79 detik"
"0.6","0.5","10","1000","0.15822784810127","0.15428670440224","52.52 detik"
"0.6","0.6","10","1000","0.17361111111111","0.16734476749759","52.60 detik"
"0.6","0.7","10","1000","0.16556291390728","0.1600777636839","52.39 detik"
"0.6","0.8","10","1000","0.14914243102163","0.14493197921447","51.68 detik"
"0.6","0.9","10","1000","0.14914243102163","0.1475865505835","52.26 detik"
"0.7","0.1","10","1000","0.20618556701031","0.18346618015223","52.85 detik"
"0.7","0.2","10","1000","0.19230769230769","0.1842713108203","54.00 detik"
"0.7","0.3","10","1000","0.1779359430605","0.16934579331063","52.36 detik"
"0.7","0.4","10","1000","0.19361084220716","0.18462552532912","52.28 detik"
"0.7","0.5","10","1000","0.1725625539258","0.16103808612309","52.65 detik"
"0.7","0.6","10","1000","0.16556291390728","0.16125493466417","52.74 detik"
"0.7","0.7","10","1000","0.1531393568147","0.14822680545916","51.69 detik"
"0.7","0.8","10","1000","0.17050298380222","0.16153971792001","52.24 detik"
"0.7","0.9","10","1000","0.14992503748126","0.14609430435859","52.29 detik"
"0.8","0.1","10","1000","0.2092050209205","0.19892042447293","55.29 detik"
"0.8","0.2","10","1000","0.2092050209205","0.18793560291065","55.08 detik"
"0.8","0.3","10","1000","0.187265917603","0.1643092656335","53.29 detik"
"0.8","0.4","10","1000","0.18975332068311","0.173924626068","54.04 detik"
"0.8","0.5","10","1000","0.16750418760469","0.15722311487963","52.98 detik"
"0.8","0.6","10","1000","0.16652789342215","0.16184010548861","53.22 detik"
"0.8","0.7","10","1000","0.15396458814473","0.14711980750663","53.12 detik"
"0.8","0.8","10","1000","0.1531393568147","0.14846458766296","52.78 detik"
"0.8","0.9","10","1000","0.1573564122738","0.1550753726071","52.26 detik"
"0.9","0.1","10","1000","0.20181634712412","0.1819011106091","52.40 detik"
"0.9","0.2","10","1000","0.19762845849802","0.18328063791133","52.83 detik"
"0.9","0.3","10","1000","0.18132366273799","0.17167986140053","53.10 detik"
"0.9","0.4","10","1000","0.17683465959328","0.16567379158364","52.49 detik"
"0.9","0.5","10","1000","0.1725625539258","0.1609508650646","53.32 detik"
"0.9","0.6","10","1000","0.15910898965792","0.15425835134305","52.86 detik"
"0.9","0.7","10","1000","0.1725625539258","0.1668504005837","52.75 detik"
"0.9","0.8","10","1000","0.15151515151515","0.14742391351369","52.90 detik"
"0.9","0.9","10","1000","0.15151515151515","0.14733794137353","52.20 detik"
